"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-08","1.8",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-09","0.0",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-10","0.0",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-11","18.0",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-12","9.7",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-13","61.0",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-14","0.0",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-15","0.0",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-16","0.0",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-17","6.9",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-18","0.0",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-19","0.0",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-20","25.7",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-21","0.0",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-22","0.0",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-24","11.9",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-25","41.9",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-26","9.7",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-27","0.0",",,N"
"US1MSAM0001","LIBERTY 6.4 ENE, MS US","31.195986","-90.700824","97.2","2008-08-28","0.0",",,N"
